molecule_chembl_id,canonical_smiles,standard_value
CHEMBL78685,c1ccc(-c2cc3ncnc(Nc4ccc5[nH]ncc5c4)c3s2)cc1,620.0
CHEMBL77452,OCCCNCc1ccc(-c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2)cc1,4.0
CHEMBL78537,c1ccc(CNc2ncnc3cc(-c4ccccc4)sc23)cc1,2500.0
CHEMBL80990,Cn1ccc2cc(Nc3ncnc4cc(-c5ccccc5)sc34)ccc21,2500.0
CHEMBL442749,c1nc(Nc2ccc3[nH]ccc3c2)c2sccc2n1,1410.0
CHEMBL311798,Brc1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1,220.0
CHEMBL80164,Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCO)cc5)sc34)ccc2[nH]1,4.0
CHEMBL80734,NC(=O)c1ccc(Nc2ncnc3cc(-c4ccccc4)sc23)cc1,250.0
CHEMBL141247,O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,2800.0
CHEMBL150894,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,16.0
CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,180.0
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,77.0
CHEMBL101682,O=C(Nc1ccccc1F)c1ccccc1NCc1ccc(F)cc1,23000.0
CHEMBL150817,COCCOc1cc2nccc(Nc3ccc(Cl)cc3F)c2cc1OC,300.0
CHEMBL127907,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,200.0
CHEMBL345943,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCc1ccncc1,1200.0
CHEMBL150315,COc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,2000.0
CHEMBL148869,COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OCCOC,900.0
CHEMBL150581,COc1cc2ncnc(Nc3ccccc3F)c2cc1OC,26000.0
CHEMBL151015,COCC(=O)Nc1cc2ncnc(Nc3cc(O)c(C)cc3F)c2cc1OC,300.0
CHEMBL347086,COCCOc1cc2ncnc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,2.0
CHEMBL151948,COCC(=O)Nc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC,100000.0
CHEMBL151942,COc1cc2ncnc(Nc3ccc(I)cc3F)c2cc1OC,800.0
CHEMBL346200,COc1cc2ncnc(Nc3ccc(F)cc3F)c2cc1OC,22000.0
CHEMBL150657,COCCOc1ccc2c(Nc3ccc(Cl)cc3F)ncnc2c1,1500.0
CHEMBL150187,COc1cc2c(Nc3c(F)cc(Br)cc3F)ncnc2cc1OCCn1ccnn1,800.0
CHEMBL151418,COc1cc2ncnc(Nc3ccc(I)cc3Cl)c2cc1OC,33000.0
CHEMBL356658,COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCOCCN1CCOCC1,500.0
CHEMBL421961,COCCOc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,30.0
CHEMBL433936,COCCOc1cc2nccc(Nc3cc(O)c(Cl)cc3F)c2cc1OC,3.0
